,Unnamed: 0,SHS_ID,PRIORITY_DEC,WELCHOL_DECILE,NEW_SEGMENT,YEARMONTH,WEL_TOTAL_TMOT,NRx,TRx,EMAIL_OPEN,EMAIL_SEND,PDEs,Calls,DSI_SAMPLES,CSS_Samples,total_paid,Copay_card,paid_copay,tmot_supplied,WELCHOL_KICKER_FLAG,WELCHOL_90_DAYS_RX_FLAG,sales_contest,NRx_1,NRx_2,NRx_3,NRx_4,PDE_1,PDE_2,PDE_transformed,DSI_SAMPLES_transformed,CSS_Samples_transformed,tmot_supplied_transformed,PDE_transformed_with_lags
51,52,9274,LOW,3,Writer not called,201512,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,53,9274,LOW,3,Writer not called,201601,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,54,9274,LOW,3,Writer not called,201602,1.28600001335144,1,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,55,9274,LOW,3,Writer not called,201603,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,56,9274,LOW,3,Writer not called,201604,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,57,9274,LOW,3,Writer not called,201605,1.28600001335144,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,58,9274,LOW,3,Writer not called,201606,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,59,9274,LOW,3,Writer not called,201607,1.28600001335144,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,60,9274,LOW,3,Writer not called,201608,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,61,9274,LOW,3,Writer not called,201609,1.28600001335144,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,62,9274,LOW,3,Writer not called,201610,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,63,9274,LOW,3,Writer not called,201611,1.28600001335144,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,64,9274,LOW,3,Writer not called,201612,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,65,9274,LOW,3,Writer not called,201701,5.14300012588501,1,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,66,9274,LOW,3,Writer not called,201702,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,67,9274,LOW,3,Writer not called,201703,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,68,9274,LOW,3,Writer not called,201704,3.85700011253357,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,69,9274,LOW,3,Writer not called,201705,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,70,9274,LOW,3,Writer not called,201706,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,71,9274,LOW,3,Writer not called,201707,3.85700011253357,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,72,9274,LOW,3,Writer not called,201708,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,73,39073,MEDIUM,5,Writer not called,201509,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,
73,74,39073,MEDIUM,5,Writer not called,201510,3.85700011253357,1,1,0,2,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
74,75,39073,MEDIUM,5,Writer not called,201511,0.0,0,0,0,2,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,76,39073,MEDIUM,5,Writer not called,201512,3.85700011253357,0,1,0,3,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,77,39073,MEDIUM,5,Writer not called,201601,0.0,0,0,0,2,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,78,39073,MEDIUM,5,Writer not called,201602,1.07099997997284,1,1,0,2,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,79,39073,MEDIUM,5,Writer not called,201603,1.07099997997284,1,1,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,80,39073,MEDIUM,5,Writer not called,201604,4.92800009250641,1,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,81,39073,MEDIUM,5,Writer not called,201605,1.07099997997284,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,82,39073,MEDIUM,5,Writer not called,201606,1.07099997997284,0,1,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,83,39073,MEDIUM,5,Writer not called,201607,4.92800009250641,0,2,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,84,39073,MEDIUM,5,Writer not called,201608,0.0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,85,39073,MEDIUM,5,Writer not called,201609,2.14299988746643,0,2,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,86,39073,MEDIUM,5,Writer not called,201610,4.92800009250641,0,2,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,87,39073,MEDIUM,5,Writer not called,201611,1.07099997997284,0,1,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,88,39073,MEDIUM,5,Writer not called,201612,1.07099997997284,0,1,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,89,39073,MEDIUM,5,Writer not called,201701,4.92799997329712,0,2,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,90,39073,MEDIUM,5,Writer not called,201702,0.0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,91,39073,MEDIUM,5,Writer not called,201703,1.07099997997284,1,1,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,92,39073,MEDIUM,5,Writer not called,201704,4.92800009250641,2,2,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,93,39073,MEDIUM,5,Writer not called,201705,2.14299988746643,0,2,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,94,39073,MEDIUM,5,Writer not called,201706,2.14199995994568,0,2,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,95,39073,MEDIUM,5,Writer not called,201707,4.92800009250641,1,2,0,1,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,96,39073,MEDIUM,5,Writer not called,201708,0.0,0,0,0,2,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,97,69805,LOW,4,Writer not called,201509,1.7139999866485602,1,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,
97,98,69805,LOW,4,Writer not called,201510,1.7139999866485602,0,1,0,0,0.0,0,0,0,95.0,2,55.0,2.0,0,0,0,1.0,,,,0.0,,0.0,0.0,0.0,0.999088118034446,
98,99,69805,LOW,4,Writer not called,201511,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,100,69805,LOW,4,Writer not called,201512,5.999000072479251,4,4,0,0,0.0,0,0,0,70.0,1,53.9099998474121,0.23,0,0,0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5529120734406441,0.0
100,101,69805,LOW,4,Writer not called,201601,1.7139999866485602,0,1,0,0,0.0,0,0,0,80.0,2,50.0,1.43,0,0,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9932956586517709,0.0
101,102,69805,LOW,4,Writer not called,201602,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,103,69805,LOW,4,Writer not called,201603,1.7150000035762802,2,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,104,69805,LOW,4,Writer not called,201604,1.28600001335144,1,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,105,69805,LOW,4,Writer not called,201605,2.1430000066757198,3,4,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,106,69805,LOW,4,Writer not called,201606,2.57199999690056,0,3,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,107,69805,LOW,4,Writer not called,201607,2.99999988079071,0,3,0,0,0.0,0,0,0,50.0,1,25.0,1.0,0,0,0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9698026165776821,0.0
107,108,69805,LOW,4,Writer not called,201608,2.98700001835823,5,5,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,109,69805,LOW,4,Writer not called,201609,4.50100001692772,1,5,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,110,69805,LOW,4,Writer not called,201610,4.28700006008148,3,4,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,111,69805,LOW,4,Writer not called,201611,0.428999990224838,1,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,112,69805,LOW,4,Writer not called,201612,0.428999990224838,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,113,69805,LOW,4,Writer not called,201701,0.857999980449677,1,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,114,69805,LOW,4,Writer not called,201702,2.1440000236034398,0,3,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,115,69805,LOW,4,Writer not called,201703,0.428999990224838,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,116,69805,LOW,4,Writer not called,201704,0.428999990224838,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,117,69805,LOW,4,Writer not called,201705,0.857999980449677,0,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,118,69805,LOW,4,Writer not called,201706,1.7150000333786002,1,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,119,69805,LOW,4,Writer not called,201707,1.7150000035762802,1,2,0,0,0.0,0,0,0,40.0,2,50.0,2.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999088118034446,0.0
119,120,69805,LOW,4,Writer not called,201708,1.7150000035762802,1,2,0,0,0.0,0,0,0,40.0,2,50.0,2.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999088118034446,0.0
120,121,80702,LOW,1,LV - HR,201509,3.0010000169277204,2,3,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,,,,,,,0.0,0.0,0.0,0.0,
121,122,80702,LOW,1,LV - HR,201510,0.8569999933242801,0,2,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,2.0,,,,0.0,,0.0,0.0,0.0,0.0,
